1	1
2	5031
4	12
5	121
6	3433
7	15401
8	5
9	5223
10	1964
11	4328
13	1643
14	3
15	5558
16	6
17	5
18	8
19	2
20	14557
21	4
22	3
23	12874
24	3905
25	4061
26	15558
27	1141
28	7
29	18361
30	7
31	3266
32	25310
33	5
34	15117
35	30
36	19017
37	14
38	33
39	2217
40	19
41	59390
42	16899
43	17748
44	8551
45	2001
46	7351
47	660
48	10407
49	6830
50	8766
51	10796
52	21012
53	14978
54	5
55	17961
56	5
57	11725
58	5554
59	6
60	24582
61	52315
62	13268
63	3279
64	3331
65	3
66	11488
67	11
68	8
69	37191
70	33276
71	5466
72	5873
73	6490
74	14834
75	13577
76	6494
77	6
78	24
79	7572
80	11
81	26148
82	18796
83	3939
84	19699
85	7
86	16181
87	2811
88	29170
89	23828
90	9800
91	27917
92	10
93	23638
94	5
95	4
96	2
97	5841
98	8
99	23353
100	95
101	6
102	15396
103	1761
104	19071
105	9902
106	15634
107	7465
108	456
109	37701
110	15
111	41166
112	5
113	4041
114	28
115	14
116	20390
117	2
118	1464
119	2198
120	1562
121	2
122	15252
123	4
124	5
125	5
126	42317
127	5
128	4273
129	7
130	14
131	8950
132	8088
133	2
134	6
135	7
136	34190
137	14
138	29354
139	9
140	40970
141	35332
142	13
143	7159
144	7768
145	13180
147	6
148	5
149	27821
150	3937
151	9804
152	27109
153	9
154	13018
155	5673
156	9
157	27350
158	24799
159	12925
160	12829
161	13827
162	11296
163	23518
164	16
165	10527
166	32149
167	162
168	4
169	6071
170	6908
171	3437
172	24
173	1530
174	1
175	11380
176	32413
177	3507
178	28594
179	2
180	12
181	9
182	2
183	5
184	9297
185	23
186	47224
187	36447
188	43370
189	19780
190	8
191	5315
192	11
193	3
194	7
195	23938
196	11129
197	17429
198	28271
199	5630
200	17568
201	15569
202	12002
203	71
204	22303
205	34802
206	3
207	4151
208	13
209	8586
210	16
211	21
212	7383
213	24752
214	12375
215	1576
216	26496
217	6
218	6648
219	7157
220	37383
221	5951
222	33021
223	6416
224	10496
225	1
226	36024
227	16
228	10
229	9281
230	44468
231	5362
232	19
233	5
234	10255
235	2
236	9
237	9332
238	12
239	6751
240	5470
241	2
242	8
243	36500
244	6
245	17
246	15
247	22828
248	3623
249	31780
250	2303
251	16
252	18252
253	6326
254	14
255	40739
256	6
257	6
258	6636
259	37367
260	7241
261	16
262	8831
263	130
264	9
265	5
266	10492
267	25227
268	6258
269	9
270	8
271	2
272	11729
273	7720
274	6
275	1
276	11791
277	25331
278	9633
279	8
280	7
281	11
282	441
283	14691
284	10111
285	4259
286	13519
287	54976
288	7621
289	9
290	7727
291	15
292	16
293	13240
294	493
295	21
296	7009
297	5
298	8842
299	7285
300	7766
301	3233
302	30504
303	40543
304	13275
305	4635
306	13254
307	10
308	7574
309	14
310	1642
311	26243
312	6923
313	2819
314	16046
315	8
316	6
317	6
318	3
319	4
320	11
321	8
322	2708
323	7
324	2
325	2
326	5
327	24524
328	25816
329	5
330	7621
331	6418
332	9394
333	7611
334	7658
335	14677
336	15905
337	5
338	25446
339	3297
340	381
341	8935
342	3
343	4722
344	1906
345	12147
346	8116
347	9830
348	20836
349	5071
350	6496
351	16
352	4992
353	7993
354	4
355	4
356	4319
357	5
358	1
359	3
360	11
361	3863
362	2286
363	2
364	5816
365	5440
366	8309
367	717
368	24436
369	23
370	7688
371	16376
372	29739
373	8323
374	21
375	15419
376	7
377	2
378	5699
379	18433
380	4891
381	6
382	5
383	2
384	4
